Institution Name,Year,Geographic Region per IPEDs,Land Grant Institution,Total Students (Full-Time & Part-Time),Full-Time Students,Full-Time Undergraduates,Full-Time Graduates,Research PhDs Awarded,"Full-Time Faculty (Instruction, Research, and Public Service)",Full-Time Faculty (Instruction Only),Research Expenditures,Public/Private University
University of California-Los Angeles,2020,Far West,Yes,44589,42939,31068,11871,679,5811,4524,961400331,Public
University of Southern California,2020,Far West,No,46287,38607,18560,20047,786,5110,2838,397016000,Private
University of Chicago,2020,Great Lakes,No,17834,15610,7020,8590,371,4271,2540,402532556,Private
University of Illinois Urbana-Champaign,2020,Great Lakes,Yes,52679,43274,32107,11167,867,2819,2527,635184456,Public
Northwestern University,2020,Great Lakes,No,22603,17736,8095,9641,467,3579,2438,578259000,Private
Indiana University-Bloomington,2020,Great Lakes,No,43064,37584,31632,5952,472,2697,2195,140302393,Public
University of Iowa,2020,Plains,No,30318,25185,20227,4958,428,2914,2615,417622000,Public
University of Maryland-College Park,2020,Mid East,Yes,40709,35620,28160,7460,598,3651,2071,499861309,Public
University of Michigan-Ann Arbor,2020,Great Lakes,No,47907,44584,29851,14733,876,7210,7210,954883000,Public
Michigan State University,2020,Great Lakes,Yes,49695,43005,34588,8417,575,4186,3155,458135505,Public
University of Minnesota-Twin Cities,2020,Plains,Yes,52017,38398,28989,9409,669,5890,4071,894046193,Public
University of Nebraska-Lincoln,2020,Plains,Yes,25108,21534,18949,2585,302,1911,1415,224064658,Public
Rutgers University-New Brunswick,2020,Mid East,Yes,50411,42684,33788,8896,711,5061,4145,603919000,Public
Ohio State University-Main Campus,2020,Great Lakes,Yes,61369,52622,42734,9888,867,5327,5221,574294773,Public
University of Wisconsin-Madison,2020,Great Lakes,Yes,44640,39887,30063,9824,743,5392,4088,1097886371,Public
Purdue University-Main Campus,2020,Great Lakes,Yes,46655,39660,33575,6085,796,2965,2161,335217852,Public
